2021-05-24 16:35:53,403 [AUDIT] Token created by 'jffe@000': tokenId='0cc41f7a-1c4f-4602-8136-18835de47db9', issuer='jffe@000', subject='jffe@000', expiry=1621874753403, refreshable=false
2021-05-24 16:35:53,421 [AUDIT] Token created by 'jffe@000': tokenId='0ef6e62e-4a00-435e-9453-60a7b8fefb76', issuer='jffe@000', subject='jffe@000', expiry=1621874753416, refreshable=false
2021-05-24 16:45:53,434 [AUDIT] Token created by 'jffe@000': tokenId='32287f5c-29b2-4625-8185-2498912c6af2', issuer='jffe@000', subject='jffe@000', expiry=1621875353433, refreshable=false
2021-05-24 16:45:53,434 [AUDIT] Token created by 'jffe@000': tokenId='fdb741eb-1e6d-4514-b615-c7669143e215', issuer='jffe@000', subject='jffe@000', expiry=1621875353434, refreshable=false
2021-05-24 16:45:53,437 [AUDIT] Token created by 'jffe@000': tokenId='70def0d6-86da-4f69-ab2a-0f497e2e2a9e', issuer='jffe@000', subject='jffe@000', expiry=1621875353433, refreshable=false
2021-05-24 16:45:53,439 [AUDIT] Token created by 'jffe@000': tokenId='6285f243-831e-4ad8-b8f0-a6ba8274d67e', issuer='jffe@000', subject='jffe@000', expiry=1621875353438, refreshable=false
2021-05-24 16:55:53,500 [AUDIT] Token created by 'jffe@000': tokenId='deda9e30-7a9b-43df-8dfc-e3746d4434e1', issuer='jffe@000', subject='jffe@000', expiry=1621875953499, refreshable=false
2021-05-24 16:55:53,503 [AUDIT] Token created by 'jffe@000': tokenId='e3bbea7d-11e0-491c-9168-3b567fdf81b2', issuer='jffe@000', subject='jffe@000', expiry=1621875953503, refreshable=false
2021-05-24 16:55:53,505 [AUDIT] Token created by 'jffe@000': tokenId='849a9f41-3229-4878-ac36-3368f9d0d465', issuer='jffe@000', subject='jffe@000', expiry=1621875953503, refreshable=false
2021-05-24 16:55:53,505 [AUDIT] Token created by 'jffe@000': tokenId='37823303-f1dd-41b9-bcf9-68de6a29fc36', issuer='jffe@000', subject='jffe@000', expiry=1621875953505, refreshable=false
2021-05-24 17:05:53,543 [AUDIT] Token created by 'jffe@000': tokenId='034e1ef6-4608-4630-8532-8f95ea69de1d', issuer='jffe@000', subject='jffe@000', expiry=1621876553543, refreshable=false
2021-05-24 17:05:53,543 [AUDIT] Token created by 'jffe@000': tokenId='4556e96d-3778-4d7c-9070-5777d19c3913', issuer='jffe@000', subject='jffe@000', expiry=1621876553543, refreshable=false
2021-05-24 17:05:53,543 [AUDIT] Token created by 'jffe@000': tokenId='41cbf17b-4764-4a49-85c2-d64f06b18c94', issuer='jffe@000', subject='jffe@000', expiry=1621876553543, refreshable=false
2021-05-24 17:05:53,546 [AUDIT] Token created by 'jffe@000': tokenId='29be523b-f013-4226-9e9a-6698612d6a8e', issuer='jffe@000', subject='jffe@000', expiry=1621876553546, refreshable=false
2021-05-24 17:15:53,590 [AUDIT] Token created by 'jffe@000': tokenId='bd0f8d9c-6420-485d-8874-84bc649bd1a9', issuer='jffe@000', subject='jffe@000', expiry=1621877153589, refreshable=false
2021-05-24 17:15:53,591 [AUDIT] Token created by 'jffe@000': tokenId='a0f3a28b-97ea-40a3-baee-5fbcc9ae885d', issuer='jffe@000', subject='jffe@000', expiry=1621877153591, refreshable=false
2021-05-24 17:15:53,596 [AUDIT] Token created by 'jffe@000': tokenId='2fddc27e-4a0b-42a7-929d-548440e3942e', issuer='jffe@000', subject='jffe@000', expiry=1621877153596, refreshable=false
2021-05-24 17:15:53,603 [AUDIT] Token created by 'jffe@000': tokenId='70e9f0a2-9a56-4770-a7b6-25b17db1ef98', issuer='jffe@000', subject='jffe@000', expiry=1621877153603, refreshable=false
2021-05-24 17:25:53,683 [AUDIT] Token created by 'jffe@000': tokenId='e64ab1a4-8cfa-4cc5-9a8a-42cfeb67163a', issuer='jffe@000', subject='jffe@000', expiry=1621877753683, refreshable=false
2021-05-24 17:25:53,683 [AUDIT] Token created by 'jffe@000': tokenId='c22bf55c-a3fc-48cf-bbcd-edec9af1075a', issuer='jffe@000', subject='jffe@000', expiry=1621877753683, refreshable=false
2021-05-24 17:25:53,684 [AUDIT] Token created by 'jffe@000': tokenId='c25493d6-0fd8-4828-a788-fc558404711e', issuer='jffe@000', subject='jffe@000', expiry=1621877753684, refreshable=false
